Omega,x,x0,v0,mu1,mu2,stable
0.43999,3.1295718710327343,-0.18953124861855258,2.2257367864084263,(-0.033948612830755565+0j),(-18.345631262833948+0j),False
0.44,3.1295587360703028,-0.189885644701034,2.22571318273239,(-0.0296982243260544+0j),(-18.33184499923715+0j),False
0.44001,3.1295455950865043,-0.19024010339143868,2.225689519013276,(-0.033944666514031496+0j),(-18.310927556314084+0j),False
0.44002,3.1295324480763416,-0.19059462474853334,2.225665795217555,(-0.03036852354881603+0j),(-18.29210837670739+0j),False
0.44003,3.129519295034826,-0.19094920883111013,2.2256420113116557,(-0.03560717487997067+0j),(-18.273268856883774+0j),False
0.44004,3.1295061359569556,-0.191303855697407,2.225618167261999,(-0.028797887175613823+0j),(-18.25412167934232+0j),False
0.44005,3.1294929708377177,-0.1916585654064081,2.2255942630349126,(-0.03192232484762769+0j),(-18.240339441189974+0j),False
0.44006,3.12947979967209,-0.19201333801702106,2.2255702985966916,(-0.02997450613791841+0j),(-18.22065097132132+0j),False
0.44007,3.129466622455058,-0.19236817358805894,2.2255462739135887,(-0.027343374655458774+0j),(-18.201866361026703+0j),False
0.44008,3.1294534391815816,-0.19272307217859141,2.2255221889518038,(-0.02528234775698479+0j),(-18.18321182435905+0j),False
0.44009,3.129440249846627,-0.19307803384768976,2.2254980436774865,(-0.030411202451148256+0j),(-18.166690779398593+0j),False
0.4401,3.1294270544451464,-0.19343305865471208,2.225473838056731,(-0.028565352484719142+0j),(-18.14615803281157+0j),False
0.44011,3.1294138529720925,-0.19378814665901098,2.225449572055584,(-0.031447649625221175+0j),(-18.130163341280877+0j),False
0.44012,3.12940064542239,-0.19414329791993717,2.2254252456400536,(-0.028798547653707374+0j),(-18.111560479478413+0j),False
0.44013,3.1293874317909904,-0.1944985124969101,2.225400858776098,(-0.027160429741599046+0j),(-18.093726372224978+0j),False
0.44014,3.1293742120728107,-0.1948537904494575,2.225376411429623,(-0.0310533497872143+0j),(-18.07686402885777+0j),False
0.44015,3.129360986262771,-0.19520913183751065,2.2253519035664677,(-0.032884453678164505+0j),(-18.052808285871592+0j),False
0.44016,3.129347754355782,-0.1955645367205314,2.225327335152458,(-0.02761905749963489+0j),(-18.038596833404398+0j),False
0.44017,3.1293345163467534,-0.1959200051583627,2.2253027061533506,(-0.03267631523077341+0j),(-18.01952232411223+0j),False
0.44018,3.129321272230571,-0.19627553721128002,2.22527801653483,(-0.03142911920804181+0j),(-18.00235932383059+0j),False
0.44019,3.1293080220021428,-0.1966311329390216,2.2252532662625724,(-0.02820080831065752+0j),(-17.986076368300985+0j),False
0.4402,3.129294765656324,-0.19698679240211997,2.225228455302158,(-0.032138287634495555+0j),(-17.96631518889174+0j),False
0.44021,3.12928150318802,-0.19734251566028715,2.225203583619178,(-0.03932542677577544+0j),(-17.948511241575005+0j),False
0.44022,3.1292682345920775,-0.1976983027743355,2.2251786511791067,(-0.026160985411493698+0j),(-17.933070084887163+0j),False
0.44023,3.1292549598633728,-0.19805415380424043,2.2251536579474274,(-0.03254430050590429+0j),(-17.913523687612212+0j),False
0.44024,3.12924167899674,-0.1984100688109941,2.2251286038895164,(-0.027493135812008518+0j),(-17.89584909528749+0j),False
0.44025,3.1292283919870543,-0.19876604785453433,2.225103488970771,(-0.03713206455486784+0j),(-17.873765041528074+0j),False
0.44026,3.129215098829133,-0.19912209099608877,2.225078313156462,(-0.02794970560466936+0j),(-17.858476610500418+0j),False
0.44027,3.1292017995178103,-0.1994781982963845,2.225053076411848,(-0.0297319630574151+0j),(-17.842978130748776+0j),False
0.44028,3.129188494047913,-0.19983436981634833,2.2250277787021284,(-0.03271766597144676+0j),(-17.82400324867386+0j),False
0.44029,3.129175182414262,-0.200190605616563,2.225002419992484,(-0.031998137010702976+0j),(-17.803039447570157+0j),False
0.4403,3.129161864611662,-0.20054690575845868,2.2249770002479905,(-0.030073479132298075+0j),(-17.785024371287307+0j),False
0.44031,3.1291485406349198,-0.20090327030311023,2.224951519433708,(-0.0300455134050992+0j),(-17.76627360225733+0j),False
0.44032,3.129135210478824,-0.20125969931193755,2.2249259775146224,(-0.03078997834595043+0j),(-17.749093500009863+0j),False
0.44033,3.1291218741381663,-0.20161619284592447,2.224900374455709,(-0.024296791908611226+0j),(-17.732361072453813+0j),False
0.44034,3.129108531607241,-0.2019727509850977,2.22487471022068,(-0.027184944970784386+0j),(-17.718521933032434+0j),False
0.44035,3.1290951828812927,-0.20232937377323199,2.2248489847755066,(-0.032213603903528565+0j),(-17.693610461432442+0j),False
0.44036,3.1290818279550976,-0.20268606127123207,2.2248231980850326,(-0.030268329477223688+0j),(-17.68076653803257+0j),False
0.44037,3.1290684670478712,-0.20304280508750347,2.2247973507412397,(-0.0329404162953324+0j),(-17.657822574184678+0j),False
0.44038,3.129055099705162,-0.2033996222040723,2.224771441454672,(-0.02727520199709943+0j),(-17.647104813671035+0j),False
0.44039,3.12904172614646,-0.2037565042160954,2.224745470816864,(-0.027186271330890577+0j),(-17.631396762273667+0j),False
0.4404,3.1290283463665047,-0.2041134511856793,2.224719438792398,(-0.03347199795720712+0j),(-17.60439420597281+0j),False
0.44041,3.129014960360021,-0.2044704631747423,2.22469334534582,(-0.030009827555488755+0j),(-17.59230396799569+0j),False
0.44042,3.1290015681217214,-0.20482754024557656,2.2246671904416124,(-0.03063030809565248+0j),(-17.57274236719482+0j),False
0.44043,3.128988169646329,-0.2051846824606589,2.2246409740441893,(-0.03168538639189933+0j),(-17.555567429429544+0j),False
0.44044,3.128974764928548,-0.20554188988205752,2.2246146961179547,(-0.02915735128554786+0j),(-17.53568159643669+0j),False
0.44045,3.1289613539630654,-0.20589916257280855,2.2245883566271973,(-0.032948619904544785+0j),(-17.52420481497373+0j),False
