Omega,x,x0,v0,mu1,mu2,stable
0.43999,3.0153076250714994,-1.9257576913733636,1.4386085800966986,(-0.029629228240878547+0j),(-18.31770581048903+0j),False
0.44,3.015321270278003,-1.9255876579634867,1.4387516890885785,(-0.0295709858387454+0j),(-18.31477988922677+0j),False
0.44001,3.015334922374935,-1.9254175526493336,1.438894845611227,(-0.02929306010315713+0j),(-18.31639062220961+0j),False
0.44002,3.0153485813673817,-1.9252473753705959,1.4390380496989508,(-0.02887767801098562+0j),(-18.30037888281663+0j),False
0.44003,3.015362247260289,-1.9250771260649147,1.4391813013876664,(-0.027933299476046614+0j),(-18.2943401163796+0j),False
0.44004,3.015375920058773,-1.9249068046722573,1.439324600711414,(-0.026660348608402273+0j),(-18.24795862106521+0j),False
0.44005,3.0153895997678677,-1.9247364111301912,1.4394679477061343,(-0.029113556338074886+0j),(-18.226091133044974+0j),False
0.44006,3.015403286392602,-1.9245659453773347,1.4396113424068977,(-0.029957624027645124+0j),(-18.232744733057245+0j),False
0.44007,3.015416979938041,-1.924395407352166,1.4397547848488643,(-0.03165826060387644+0j),(-18.203395608951382+0j),False
0.44008,3.0154306804092594,-1.924224796992898,1.439898275067391,(-0.03114423052369375+0j),(-18.17035331832352+0j),False
0.44009,3.015444387811357,-1.924054114237975,1.4400418130976267,(-0.028874275679925177+0j),(-18.14822921650142+0j),False
0.4401,3.0154581021493603,-1.9238833590247078,1.4401853989755964,(-0.029928469788558232+0j),(-18.152003296036412+0j),False
0.44011,3.0154718234284124,-1.9237125312923777,1.440329032735729,(-0.02883203763116171+0j),(-18.107043253520203+0j),False
0.44012,3.0154855516535624,-1.9235416309775277,1.4404727144146323,(-0.029161232354510958+0j),(-18.107745963370405+0j),False
0.44013,3.015499286829958,-1.9233706580187708,1.440616444047225,(-0.029209583278429818+0j),(-18.084531589336166+0j),False
0.44014,3.0155130289626966,-1.9231996123540238,1.440760221668962,(-0.02861974699851544+0j),(-18.06735384787737+0j),False
0.44015,3.015526778056897,-1.9230284939206321,1.4409040473157366,(-0.02955108754883895+0j),(-18.07149780530267+0j),False
0.44016,3.0155405341176524,-1.9228573026555966,1.441047921023689,(-0.030017996741435127+0j),(-18.038382674431205+0j),False
0.44017,3.0155542971501177,-1.9226860384965738,1.4411918428284185,(-0.029697613110499788+0j),(-18.00834721792961+0j),False
0.44018,3.0155680671594376,-1.9225147013822421,1.4413358127646734,(-0.029760614000849728+0j),(-18.004208634223232+0j),False
0.44019,3.0155818441507702,-1.922343291248194,1.4414798308696708,(-0.02880570976645913+0j),(-17.966842130339444+0j),False
0.4402,3.015595628129249,-1.9221718080330226,1.4416238971781739,(-0.03146519227396993+0j),(-17.964975640313185+0j),False
0.44021,3.015609419100024,-1.9220002516720487,1.4417680117275726,(-0.02993635357745461+0j),(-17.991239125133916+0j),False
0.44022,3.0156232170682697,-1.9218286221038945,1.4419121745525598,(-0.027570913702049893+0j),(-17.93980000092546+0j),False
0.44023,3.0156370220391815,-1.9216569192648465,1.4420563856897,(-0.02973275730948899+0j),(-17.905348775051323+0j),False
0.44024,3.0156508340179067,-1.9214851430914446,1.4422006451753238,(-0.030774384397091126+0j),(-17.879489255506314+0j),False
0.44025,3.01566465300966,-1.9213132935209647,1.442344953045149,(-0.029511998296129605+0j),(-17.86512628366728+0j),False
0.44026,3.0156784790196522,-1.9211413704897333,1.4424893093356284,(-0.02900998072408356+0j),(-17.847852797403107+0j),False
