Omega,x,x0,v0,mu1,mu2,stable
0.4,3.127939872680912,-1.788218958703696,1.5517661067524835,(-0.0800888028825284+0j),(231.963342003668+0j),False
0.40001,3.1279324193245066,-1.788125885603716,1.5518386371995658,(-0.03133106600034807+0j),(231.93853997840324+0j),False
0.40002,3.1279249650777525,-1.7880328099128675,1.5519111657261693,(0.005783790868918004+0j),(231.31327147188404+0j),False
0.40003,3.127917509940552,-1.7879397316309338,1.551983692332128,(-0.03114979853580735+0j),(231.1903834292707+0j),False
0.40004,3.12791005391282,-1.7878466507579456,1.552056217017083,(0.16065019625330024+0j),(230.98630062273787+0j),False
0.40005,3.12790259699446,-1.7877535672939149,1.552128739780692,(-0.0798196892701526+0j),(230.79515465765417+0j),False
0.40006,3.127895139185387,-1.7876604812387435,1.5522012606226963,(-0.006146886728856771+0j),(230.88624689468816+0j),False
0.40007,3.1278876804855096,-1.7875673925924531,1.5522737795427455,(0.04784226883202791+0j),(230.63666277911216+0j),False
0.40008,3.127880220894741,-1.7874743013546166,1.5523462965408379,(-0.025117322559708555+0j),(230.4989975201397+0j),False
0.40009,3.12787276041298,-1.787381207525802,1.5524188116161959,(0.08058307770625106+0j),(230.23782217093412+0j),False
0.4001,3.1278652990401454,-1.7872881111055152,1.5524913247688694,(-0.008197034881050058+0j),(230.30448563941172+0j),False
0.40011,3.1278578367761445,-1.7871950120938598,1.5525638359984453,(-0.007898899776591861+0j),(230.15509632949852+0j),False
0.40012,3.1278503736208885,-1.7871019104906658,1.55263634530472,(-0.10197385805804515+0j),(230.12758918089185+0j),False
0.40013,3.127842909574283,-1.7870088062960057,1.5527088526873045,(0.021157466196200403+0j),(229.60456500738565+0j),False
0.40014,3.12783544463624,-1.7869156995097892,1.5527813581459327,(0.09217672467093507+0j),(229.51952440975947+0j),False
0.40015,3.127827978806672,-1.786822590131929,1.552853861680338,(-0.032539378549699904+0j),(229.59372123077083+0j),False
0.40016,3.127820512085486,-1.7867294781624112,1.5529263632901997,(-0.030957191846027854+0j),(229.14235300215023+0j),False
0.40017,3.127813044472589,-1.7866363636011737,1.5529988629752285,(0.027194780243917194+0j),(229.19615338022868+0j),False
0.40018,3.1278055759678938,-1.786543246448242,1.553071360735071,(0.017604643016966293+0j),(229.07832789509393+0j),False
0.40019,3.1277981065713125,-1.7864501267033337,1.5531438565696138,(-0.09798645998489519+0j),(229.0362703282908+0j),False
0.4002,3.1277906362827497,-1.7863570043666146,1.5532163504783907,(-0.09746967691353348+0j),(228.82034646287775+0j),False
0.40021,3.1277831651021155,-1.7862638794379864,1.5532888424611468,(-0.1488615553244017+0j),(228.6455891054884+0j),False
0.40022,3.1277756930293217,-1.7861707519172563,1.5533613325176958,(0.021701597253922955+0j),(228.44522861556652+0j),False
0.40023,3.12776822006428,-1.7860776218045589,1.553433820647598,(-0.008060905580350664+0j),(228.5588120918137+0j),False
0.40024,3.1277607462068904,-1.7859844890998526,1.5535063068505521,(0.02109752664091502+0j),(228.02680262170816+0j),False
0.40025,3.1277532714570757,-1.7858913538028622,1.553578791126437,(-0.06033329172169033+0j),(228.03411772596337+0j),False
0.40026,3.127745795814734,-1.7857982159136923,1.5536512734748387,(0.04182114743252896+0j),(227.8429669949619+0j),False
0.40027,3.1277383192797807,-1.785705075432373,1.5537237538953959,(0.009708425857752445+0j),(227.88737454690454+0j),False
0.40028,3.127730841852122,-1.7856119323586168,1.5537962323879992,(0.026236596461785666+0j),(227.45454754636648+0j),False
0.40029,3.1277233635316732,-1.7855187866926119,1.553868708952169,(-0.06152986485994916+0j),(227.38759460675738+0j),False
0.4003,3.1277158843183392,-1.785425638434081,1.5539411835877837,(-0.051528269666960114+0j),(227.28245568069906+0j),False
0.40031,3.12770840421203,-1.7853324875830956,1.5540136562944542,(-0.014331312102513039+0j),(227.06318330483464+0j),False
0.40032,3.127700923212653,-1.7852393341396229,1.5540861270718722,(-0.005689193329089903+0j),(226.899036523806+0j),False
0.40033,3.1276934413201247,-1.7851461781035625,1.5541585959197801,(-0.010246262697364728+0j),(226.82098231404234+0j),False
0.40034,3.127685958534344,-1.7850530194748775,1.5542310628378717,(0.05650859508477879+0j),(226.34393960711623+0j),False
0.40035,3.1276784748552307,-1.7849598582534991,1.5543035278258661,(-0.039884198306936014+0j),(226.43781440387647+0j),False
0.40036,3.127670990282683,-1.7848666944395244,1.5543759908833517,(-0.003620339776716719+0j),(226.2189926439396+0j),False
0.40037,3.1276635048166264,-1.7847735280325205,1.5544484520103334,(0.048829042443685466+0j),(226.17557143459453+0j),False
0.40038,3.1276560184569524,-1.7846803590328024,1.554520911206228,(0.03796861014689057+0j),(225.9898597307547+0j),False
0.40039,3.1276485312035827,-1.7845871874401515,1.5545933684708733,(-0.025199747096849023+0j),(225.83309105067838+0j),False
0.4004,3.1276410430564203,-1.784494013254548,1.5546658238039477,(-0.04406075978113222+0j),(225.90179818282286+0j),False
0.40041,3.127633554015378,-1.7844008364759831,1.554738277205125,(-0.0017998706398429931+0j),(225.6463080906169+0j),False
0.40042,3.127626064080367,-1.7843076571042495,1.5548107286742312,(0.004416036766087927+0j),(225.66239670116374+0j),False
0.40043,3.127618573251289,-1.7842144751395455,1.554883178210776,(-0.059962143346638186+0j),(225.34143255117124+0j),False
0.40044,3.127611081528057,-1.784121290581564,1.5549556258146637,(-0.014233779959795356+0j),(225.18960434748806+0j),False
0.40045,3.127603588910585,-1.7840281034304342,1.5550280714854596,(0.1029885857615227+0j),(224.9651206447561+0j),False
0.40046,3.1275960953987765,-1.7839349136859817,1.5551005152229647,(-0.08353129366241774+0j),(225.10824382985902+0j),False
0.40047,3.1275886009925453,-1.7838417213481534,1.5551729570268835,(-0.053639367850337294+0j),(224.54388263697638+0j),False
0.40048,3.1275811056917955,-1.7837485264170294,1.5552453968968198,(0.03656987013619073+0j),(224.28212669823006+0j),False
0.40049,3.1275736094964404,-1.7836553288924846,1.5553178348325367,(-0.07570401175689767+0j),(224.33931812993706+0j),False
0.4005,3.1275661124063925,-1.7835621287743186,1.555390270833854,(-0.022795851179580495+0j),(224.1362573744218+0j),False
0.40051,3.127558614421553,-1.7834689260626297,1.5554627049003598,(-0.03211481114067283+0j),(223.85268023429126+0j),False
0.40052,3.1275511155418316,-1.7833757207575573,1.5555351370316113,(-0.02567652714151336+0j),(223.73808757753432+0j),False
0.40053,3.1275436157671455,-1.7832825128585257,1.5556075672277216,(-0.15394489041409543+0j),(224.0627275549623+0j),False
0.40054,3.127536115097394,-1.7831893023659873,1.5556799954880023,(-0.061574185049721564+0j),(223.80203706409065+0j),False
0.40055,3.127528613532494,-1.7830960892796273,1.5557524218123637,(0.05434823653104104+0j),(223.45974542895692+0j),False
0.40056,3.1275211110723533,-1.7830028735994339,1.5558248462004807,(0.003367291404174466+0j),(223.26100932778445+0j),False
0.40057,3.1275136077168764,-1.7829096553254697,1.5558972686519685,(0.005386442435337813+0j),(223.3525975823586+0j),False
0.40058,3.127506103465977,-1.7828164344574668,1.5559696891667003,(0.10328687996934605+0j),(222.80059423729472+0j),False
0.40059,3.127498598319563,-1.782723210995454,1.556042107744319,(0.23999665979135898+0j),(222.50796813188208+0j),False
0.4006,3.1274910922775465,-1.7826299849393918,1.5561145243845194,(-0.08347056243201223+0j),(222.89279857014753+0j),False
0.40061,3.1274835853398257,-1.7825367562893983,1.5561869390868746,(0.06457809880430432+0j),(222.52661620894924+0j),False
0.40062,3.127476077506325,-1.7824435250450816,1.5562593518513548,(-0.020289099849833292+0j),(222.4355225818872+0j),False
0.40063,3.1274685687769432,-1.7823502912066957,1.5563317626774258,(0.009051746036675468+0j),(222.24631773671263+0j),False
0.40064,3.1274610591515883,-1.782257054773974,1.556404171564961,(-0.12298314431063773+0j),(222.3259282786148+0j),False
0.40065,3.1274535486301787,-1.7821638157470248,1.5564765785135404,(0.0787028518589068+0j),(222.02385246216818+0j),False
0.40066,3.1274460372126187,-1.782070574125578,1.5565489835230382,(0.01738282158748916+0j),(221.70885910462403+0j),False
0.40067,3.127438524898812,-1.7819773299097859,1.5566213865930005,(-0.03673338685712224+0j),(221.63348566686273+0j),False
0.40068,3.127431011688677,-1.7818840830995268,1.5566937877231881,(-0.029523445287850336+0j),(221.85854326846038+0j),False
0.40069,3.127423497582119,-1.7817908336947181,1.5567661869133287,(-0.03873911471418978+0j),(221.272314608751+0j),False
0.4007,3.12741598257904,-1.7816975816953518,1.5568385841630914,(-0.037269189313519746+0j),(221.21782917924338+0j),False
0.40071,3.1274084666793565,-1.7816043271014372,1.5569109794721365,(-0.07393074589163007+0j),(221.53511243908542+0j),False
0.40072,3.1274009498829782,-1.7815110699127172,1.556983372840327,(-0.010895711730881885+0j),(221.0446384104007+0j),False
0.40073,3.127393432189814,-1.7814178101292155,1.5570557642673093,(0.09308755372967426+0j),(220.67909269407664+0j),False
0.40074,3.127385913599767,-1.7813245477509914,1.5571281537527026,(-0.027677849820065603+0j),(220.84091146638275+0j),False
0.40075,3.1273783941127538,-1.781231282777803,1.5572005412963574,(0.07238870198307268+0j),(220.56758283239924+0j),False
0.40076,3.127370873728679,-1.781138015209775,1.5572729268978422,(0.028410214463292505+0j),(220.51844030479515+0j),False
0.40077,3.127363352447447,-1.781044745046859,1.5573453105568604,(0.09066957816958165+0j),(219.96542209025847+0j),False
0.40078,3.127355830268979,-1.7809514722887223,1.5574176922733334,(-0.05105957565137942+0j),(220.33169037550124+0j),False
0.40079,3.127348307193171,-1.780858196935652,1.5574900720467033,(0.055814312911934394+0j),(219.810224620368+0j),False
0.4008,3.12734078321994,-1.7807649189874413,1.557562449876794,(0.027361638968613988+0j),(220.04747902626696+0j),False
0.40081,3.1273332583491933,-1.7806716384440195,1.5576348257633263,(0.011986192310359911+0j),(219.54459682080414+0j),False
0.40082,3.1273257325808403,-1.7805783553052639,1.5577071997060603,(-0.006215236472598917+0j),(219.61557247689507+0j),False
0.40083,3.127318205914786,-1.7804850695713692,1.557779571704507,(0.17687849684261892+0j),(219.28447375064388+0j),False
0.40084,3.127310678350943,-1.7803917812420411,1.5578519417585608,(-0.022917462096302188+0j),(219.3700223403057+0j),False
0.40085,3.12730314988922,-1.7802984903172503,1.557924309867909,(0.015916192136501195+0j),(219.06018082202627+0j),False
0.40086,3.1272956205295235,-1.7802051967970316,1.5579966760321877,(0.031242518220096827+0j),(219.14989377149413+0j),False
0.40087,3.1272880902717652,-1.7801119006813162,1.5580690402511164,(-0.017744465250871144+0j),(218.84703945922502+0j),False
0.40088,3.1272805591158535,-1.7800186019699975,1.5581414025244402,(0.005914211722483742+0j),(218.7088442879476+0j),False
0.40089,3.1272730270616953,-1.7799253006630695,1.558213762851829,(0.019043952323045232+0j),(218.45234816969514+0j),False
0.4009,3.1272654941091997,-1.7798319967603786,1.558286121233068,(-0.05746306194942008+0j),(218.6886405555906+0j),False
0.40091,3.1272579602582757,-1.7797386902620158,1.5583584776677473,(-0.022348903444253665+0j),(218.17468401308724+0j),False
0.40092,3.127250425508836,-1.7796453811678064,1.5584308321556692,(-0.09875100189128716+0j),(218.1460041371438+0j),False
0.40093,3.1272428898607814,-1.7795520694777933,1.5585031846964639,(0.027268197863122623+0j),(217.86120958571792+0j),False
0.40094,3.127235353314026,-1.7794587551918137,1.5585755352899218,(0.006276580535086396+0j),(217.73725402763375+0j),False
