Omega,x_re,x_im,x0,v0,floquet,stable
0.777,2.261508437831155,0.0,(0.18886445880914196+0j),(1.9379613418684742+0j),[0.65393473+0.j 1.07137532+0.j],False
0.776,2.269384678753989,0.0026970190733836756,(0.1151113008672758-0.07024710864973208j),(1.9505463563578223+0.007100109433574644j),[0.68821756+0.05034128j 1.01212382-0.07403416j],False
0.775,2.2751656084611698,0.004717546750573275,(0.11522982169968762-0.12375975780837332j),(1.9556151255215506+0.01247251741521797j),[0.67083042+0.07860817j 1.02929932-0.1206137j ],False
0.774,2.280911649961723,0.006065857504027617,(0.11534549801515687-0.16027122126739304j),(1.9606562750977772+0.016105653719849178j),[0.65823215+0.0939712j  1.0416829 -0.14871379j],False
0.773,2.2866229487566887,0.007134705038801258,(0.11545836554454078-0.18985453094356805j),(1.9656697967307823+0.01902400019087744j),[0.64802077+0.10476507j 1.0516765 -0.17002381j],False
0.772,2.2922996385827443,0.008037095465086647,(0.1155684648578222-0.21538098044882892j),(1.9706556604517549+0.02152068481019634j),[0.63928  +0.11315497j 1.0601964-0.18765875j],False
0.771,2.2979418646485557,0.008824881421471881,(0.11567582823019969-0.23815639693251422j),(1.9756138548992612+0.02372949550117248j),[0.63154987+0.12004967j 1.06770252-0.2029568j ],False
0.77,2.3035497678804933,0.009527106765554091,(0.11578049005598175-0.2589056989026299j),(1.9805443600127184+0.025724971455925092j),[0.62456299+0.12592041j 1.07446223-0.21662623j],False
0.769,2.309123489029433,0.01016204346933065,(0.11588248396562789-0.2780808417912964j),(1.9854471541573984+0.027553754728541158j),[0.61814867+0.13104411j 1.08064617-0.22909103j],False
0.768,2.3146631686712125,0.010742105707073665,(0.11598184277447446-0.2959860922652588j),(1.9903222141524248+0.029247362646736993j),[0.61219064+0.13559775j 1.0863706 -0.24062669j],False
0.767,2.3201689491629702,0.01127620523017598,(0.11607859813966932-0.31283786680026826j),(1.9951695187491783+0.030828297127456862j),[0.60660576+0.13970148j 1.09171862-0.25142311j],False
0.766,2.3256409660479838,0.011771006698898358,(0.1161727863495483-0.3287964989230957j),(1.9999890332366412+0.03231329412826666j),[0.60133233+0.14344068j 1.0967519 -0.26161712j],False
0.765,2.331079360772564,0.012231661613142111,(0.11626444179887767-0.3439847716115623j),(2.004780732097894+0.033715219439734476j),[0.59632319+0.14687826j 1.10151756-0.27131089j],False
0.764,2.336484274402011,0.012662254536850697,(0.1163535884726952-0.35849912524528266j),(2.0095445884308747+0.035044216723189595j),[0.5915414 +0.15006193j 1.10605251-0.28058286j],False
0.763,2.3418558467067663,0.013066093422767811,(0.11644025564371568-0.3724169286912776j),(2.0142805716252545+0.03630845671262201j),[0.58695745+0.15302876j 1.11038623-0.28949463j],False
0.762,2.3471942173295726,0.013445905463227485,(0.11652447178207591-0.38580136878191895j),(2.018988649700948+0.0375146389834266j),[0.58254734+0.15580812j 1.11454267-0.29809559j],False
0.761,2.3524995257356793,0.013803973082719427,(0.11660626500924463-0.3987048317288058j),(2.023668789199712+0.03866834026575344j),[0.5782913 +0.15842367j 1.11854157-0.30642595j],False
0.76,2.357771911251813,0.014142231259009964,(0.11668566281589665-0.4111713143242575j),(2.02832095528798+0.03977426307012458j),[0.57417279+0.16089478j 1.12239942-0.31451892j],False
0.759,2.363011513067277,0.014462338843073647,(0.11676269207669644-0.4232381842550222j),(2.032945111776691+0.04083641751101517j),[0.57017786+0.16323749j 1.12613013-0.3224023j ],False
0.758,2.368218470236315,0.014765731927354357,(0.11683737906411075-0.4349374923463508j),(2.0375412211419857+0.041858257055455185j),[0.56629463+0.16546525j 1.12974557-0.3300996j ],False
0.757,2.3733929216810226,0.015053664514289565,(0.11690974946303571-0.4462969686996552j),(2.0421092445450957+0.0428427817304408j),[0.56251285+0.16758944j 1.13325591-0.3376309j ],False
0.756,2.378535006194953,0.015327240009231516,(0.11697982838369375-0.45734079108180536j),(2.0466491418518906+0.043792617858122516j),[0.55882365+0.16961976j 1.13667   -0.34501349j],False
0.755,2.3836448624473596,0.015587435958097688,(0.11704764037491498-0.4680901861438515j),(2.0511608716530105+0.04471008054273398j),[0.5552193 +0.17156459j 1.13999552-0.35226237j],False
0.754,2.3887226289753762,0.01583512372162326,(0.11711320943668183-0.4785639058691554j),(2.0556443912830002+0.04559722326912693j),[0.55169298+0.17343117j 1.14323923-0.35939067j],False
0.753,2.3937684441875695,0.016071084321578118,(0.11717655903203865-0.4887786095093678j),(2.0600996568398524+0.04645587772708255j),[0.5482387 +0.17522581j 1.14640711-0.36640995j],False
0.752,2.3987824463735077,0.01629602132903095,(0.1172377120994529-0.4987491729516292j),(2.0645266232039092+0.04728768612230751j),[0.54485112+0.17695407j 1.14950443-0.37333041j],False
0.751,2.403764773702873,0.016510571443877055,(0.11729669106397878-0.5084889416873554j),(2.0689252440568433+0.04809412764099433j),[0.54152547+0.17862086j 1.15253591-0.38016116j],False
