Omega,x,x0,v0,stable,floquet
0.676,3.1944601568843978,3.1293318211389938,0.0002736896381928,False,[4.16625590e+05 1.59430783e-06]
0.677,3.194445380585366,3.129350376975192,0.0002741899085541,False,[4.09078941e+05 1.62544893e-06]
0.678,3.1944254206437277,3.12936893491331,0.0002746715790498,False,[4.01016834e+05 1.65845267e-06]
0.679,3.194408297624739,3.1293875025535174,0.000275160176492,False,[3.93498533e+05 1.69093255e-06]
0.68,3.1943911378870444,3.129406073982974,0.000275650964864,False,[3.86138642e+05 1.72489672e-06]
0.681,3.1943734289329218,3.129424650572655,0.000276139506905,False,[3.78872827e+05 1.75874447e-06]
0.682,3.194356029344899,3.1294432331823696,0.0002766285124051,False,[3.71801533e+05 1.79288327e-06]
0.683,3.194338604900619,3.129461822040465,0.0002771160170622,False,[3.64880410e+05 1.82847725e-06]
0.684,3.194319829442095,3.129480419699349,0.0002775919036791,False,[3.57961607e+05 1.86497346e-06]
0.685,3.1943034890830204,3.1294990162347744,0.0002780884625395,False,[3.51454339e+05 1.90015999e-06]
0.686,3.1942863976323403,3.129517621601385,0.0002785761372002,False,[3.45005487e+05 1.93709275e-06]
0.687,3.1942682146740267,3.129536231047405,0.0002790597788896,False,[3.38584173e+05 1.97536428e-06]
0.688,3.1942520930895397,3.1295548496084384,0.000279547871485,False,[3.32503028e+05 2.01203511e-06]
0.689,3.1942344125789264,3.1295734767410504,0.0002800230334699,False,[3.26399337e+05 2.05083052e-06]
0.69,3.1942166690851863,3.129592097025176,0.0002805144551415,False,[3.20420095e+05 2.09099380e-06]
0.691,3.1941968624568586,3.129610730448437,0.0002809834201435,False,[3.14383456e+05 2.13171006e-06]
0.692,3.1941803070856936,3.1296293670937474,0.0002814713024046,False,[3.08764486e+05 2.17190245e-06]
0.693,3.194163544189512,3.129648009095537,0.000281957268065,False,[3.03243501e+05 2.21308437e-06]
0.694,3.194146519532948,3.129666656261432,0.0002824411950818,False,[2.97814773e+05 2.25452823e-06]
0.695,3.1941293025215645,3.129685308476482,0.0002829235033564,False,[2.92482970e+05 2.29672878e-06]
0.696,3.19411196175355,3.1297039656808416,0.0002834045434478,False,[2.87252067e+05 2.34012259e-06]
0.697,3.1940945499010733,3.1297226278218315,0.0002838845820791,False,[2.82124254e+05 2.38418579e-06]
0.698,3.1940770996189745,3.12974129481884,0.0002843638255839,False,[2.77099832e+05 2.42833630e-06]
0.699,3.194059626697213,3.1297599666152767,0.0002848423591873,False,[2.72177673e+05 2.47368007e-06]
0.7,3.1940420582761395,3.1297786430053787,0.0002853199859705,False,[2.67350358e+05 2.52030441e-06]
0.701,3.194024612168234,3.1297973242365846,0.0002857974957544,False,[2.62630923e+05 2.56663770e-06]
0.702,3.194007127008379,3.1298160100838417,0.0002862742289115,False,[2.58005645e+05 2.61400419e-06]
0.703,3.1939896219068493,3.1298347005124905,0.0002867502622471,False,[2.53473719e+05 2.66270945e-06]
0.704,3.193972111475116,3.1298533955194308,0.0002872256058235,False,[2.49033972e+05 2.71148747e-06]
0.705,3.1939545795656707,3.129872094877016,0.0002877004104345,False,[2.44683297e+05 2.76094943e-06]
0.706,3.1939370497764896,3.129890798724436,0.0002881745392772,False,[2.40421120e+05 2.81163375e-06]
0.707,3.193919514579369,3.1299095069284197,0.000288648060802,False,[2.36244957e+05 2.86327850e-06]
0.708,3.193901973702927,3.129928219435536,0.0002891209726174,False,[2.32152833e+05 2.91489414e-06]
0.709,3.1938844270493396,3.12994693619372,0.0002895932715463,False,[2.28142834e+05 2.96767394e-06]
0.71,3.193866874583701,3.1299656571507435,0.0002900649551495,False,[2.24213100e+05 3.02183616e-06]
0.711,3.193849316335548,3.1299843822561995,0.0002905360189523,False,[2.20361818e+05 3.07605660e-06]
0.712,3.1938317524305546,3.1300031114588225,0.0002910064598337,False,[2.16587226e+05 3.13120836e-06]
0.713,3.193814182787552,3.130021844707516,0.0002914762749124,False,[2.12887598e+05 3.18750972e-06]
0.714,3.193796597285354,3.130040581937847,0.0002919454153489,False,[2.09260762e+05 3.24487337e-06]
0.715,3.193779020372191,3.130059323147866,0.0002924139629136,False,[2.05706271e+05 3.30229523e-06]
0.716,3.1937614374059096,3.1300780682337863,0.000292881897325,False,[2.02221802e+05 3.36096855e-06]
0.717,3.193743850013447,3.130096817145026,0.0002933492255753,False,[1.98805870e+05 3.42084968e-06]
0.718,3.1937262443474146,3.130115569889825,0.000293815770504,False,[1.95456344e+05 3.48119647e-06]
0.719,3.1937086468343248,3.130134326317401,0.0002942818432705,False,[1.92172912e+05 3.54241638e-06]
0.72,3.193691040869273,3.130153086443822,0.0002947472380601,False,[1.88953391e+05 3.60478589e-06]
0.721,3.1936734291338835,3.130171850205197,0.0002952119883437,False,[1.85796490e+05 3.66827589e-06]
0.722,3.193655811836753,3.1301906175547978,0.0002956760873382,False,[1.82700839e+05 3.73207149e-06]
0.723,3.193638189423938,3.130209388436197,0.0002961395437523,False,[1.79665115e+05 3.79710400e-06]
