Omega,x,x0,v0,stable,floquet
0.4,2.9965476547016454,-2.311488323138152,1.0806169173361846,False,[-1.71091100e-03 -2.92816761e+02]
0.401,2.9963925965112197,-2.3058870738121686,1.0862897715183868,False,[-1.81952700e-03 -2.75849364e+02]
0.402,2.996262771728556,-2.3001600243853075,1.0920757312985243,False,[-1.93489218e-03 -2.59853439e+02]
0.403,2.9961585187916726,-2.294303341607629,1.0979776881054435,False,[-2.05748568e-03 -2.44751913e+02]
0.404,2.996080202589509,-2.288312981129975,1.1039986830004294,False,[-2.18846765e-03 -2.30513675e+02]
0.405,2.9960281803475906,-2.2821848295181826,1.1101417585979203,False,[-2.32791818e-03 -2.17076677e+02]
0.406,2.9960028223326516,-2.275914608344658,1.1164100518214373,False,[-2.47639185e-03 -2.04391698e+02]
0.407,2.9960045156161743,-2.269497847271341,1.1228068156432618,False,[-2.63495047e-03 -1.92421670e+02]
0.408,2.996033649004772,-2.262929953147399,1.1293353451885824,False,[-2.80404829e-03 -1.81118227e+02]
0.409,2.9960906282090467,-2.256206118991193,1.1359990622816016,False,[-2.98442296e-03 -1.70442034e+02]
0.41,2.9961758755041297,-2.249321327327149,1.1428015063961698,False,[-3.17723776e-03 -1.60358737e+02]
0.411,2.996289827425707,-2.24227034474038,1.1497463328286328,False,[-3.38322266e-03 -1.50834083e+02]
0.412,2.996432934379925,-2.235047717580985,1.1568373099738578,False,[-3.60418269e-03 -1.41833226e+02]
0.413,2.9966056742902856,-2.227647690501636,1.164078391146852,False,[-3.84051608e-03 -1.33329948e+02]
0.414,2.996808540136164,-2.220064253949554,1.1714736588839656,False,[-4.09289876e-03 -1.25294573e+02]
0.415,2.9970420475370654,-2.2122910985022752,1.1790273604728785,False,[-4.36430487e-03 -1.17699217e+02]
0.416,2.997306746051651,-2.2043215342157634,1.186743975084339,False,[-4.65536567e-03 -1.10522044e+02]
0.417,2.997603198237512,-2.1961485847001128,1.19462811101844,False,[-4.96770007e-03 -1.03734716e+02]
0.418,2.997932016577189,-2.1877647780993725,1.202684694737399,False,[-5.30350966e-03 -9.73194725e+01]
0.419,2.9982938343723413,-2.1791622735474654,1.2109188339501562,False,[-5.66492217e-03 -9.12534195e+01]
0.42,2.9986893344681436,-2.170332691513888,1.2193359646666475,False,[-6.05434574e-03 -8.55192757e+01]
0.421,2.999119222916009,-2.1612672194656346,1.2279417319908468,False,[-6.47415186e-03 -8.00947305e+01]
0.422,2.999584275755871,-2.151956342826025,1.2367422265365775,False,[-6.92820081e-03 -7.49659786e+01]
0.423,3.000085305958976,-2.142389980705421,1.2457438321521657,False,[-7.41910324e-03 -7.01156621e+01]
0.424,3.0006231872704796,-2.132557321660041,1.254953356242699,False,[-7.95056194e-03 -6.55284943e+01]
0.425,3.0011988566318966,-2.122446764240895,1.2643780565545388,False,[-8.52727658e-03 -6.11900208e+01]
0.426,3.001813322610655,-2.112045829336103,1.2740256910318732,False,[-9.15410849e-03 -5.70867968e+01]
0.427,3.0024676684697438,-2.1013410776648,1.2839045574220151,False,[-9.83698501e-03 -5.32055250e+01]
0.428,3.003163073704745,-2.0903179355008743,1.2940236129399056,False,[-1.05817471e-02 -4.95348349e+01]
0.429,3.003900808812129,-2.078960640620969,1.3043924753975826,False,[-1.13966129e-02 -4.60628946e+01]
0.43,3.0046822584943236,-2.0672520325936623,1.3150215607893143,False,[-1.22897823e-02 -4.27789638e+01]
0.431,3.0055089321575825,-2.0551733894050503,1.325922168016973,False,[-1.32718245e-02 -3.96728161e+01]
0.432,3.0063824866134174,-2.0427041855843067,1.3371066239945908,False,[-1.43545502e-02 -3.67351755e+01]
0.433,3.007304731634693,-2.029821914041374,1.3485883574643804,False,[-1.55520382e-02 -3.39565653e+01]
0.434,3.008277679619646,-2.016501649498578,1.3603821888187273,False,[-1.68812717e-02 -3.13291035e+01]
0.435,3.0093035454057238,-2.002715841497035,1.372504393135305,False,[-1.83621998e-02 -2.88445153e+01]
0.436,3.0103847897754807,-1.9884338335150131,1.384972984255744,False,[-2.00197723e-02 -2.64949557e+01]
0.437,3.011524176781343,-1.9736212432514777,1.3978080875040373,False,[-2.18834838e-02 -2.42735881e+01]
0.438,3.0127247903361947,-1.9582395093359428,1.4110321282775944,False,[ -0.02399102 -22.17320675]
0.439,3.013990128728872,-1.9422449110759576,1.4246704306861124,False,[ -0.02638883 -20.18749532]
0.44,3.015324163401407,-1.9255876795240776,1.4387516709382373,False,[ -0.02913598 -18.3103123 ]
0.441,3.016731452930947,-1.9082106309504223,1.4533086567624882,False,[ -0.03230814 -16.53605181]
0.442,3.0182172385709833,-1.890047739687354,1.468379050450588,False,[ -0.03600551 -14.85902897]
0.443,3.0197876330826574,-1.8710218572837412,1.4840066637399985,False,[ -0.04036176 -13.27402924]
0.444,3.021449824983431,-1.8510419896499493,1.5002429181514068,False,[ -0.04555999 -11.77605003]
0.445,3.0232123535173634,-1.829999614075415,1.5171488219899338,False,[ -0.0518589  -10.36018298]
0.446,3.025085526966569,-1.807763382804495,1.5347978688187334,False,[-0.05963542 -9.02176425]
0.447,3.0270819542119694,-1.7841719480533536,1.5532798715933709,False,[-0.06946319 -7.75609607]
0.448,3.029217363894711,-1.7590232770397711,1.5727067291877774,False,[-0.08226227 -6.55838377]
0.449,3.0315118334868503,-1.7320585424853827,1.5932210973190422,False,[-0.09961469 -5.4233916 ]
0.45,3.033991514463206,-1.7029382411210356,1.615008908542081,False,[-0.12452232 -4.34451631]
0.451,3.0366920566168596,-1.671198707480557,1.6383230563393842,False,[-3.31197912 -0.16356585]
0.452,3.0396637555757806,-1.6361815504162325,1.6635204268474402,False,[-2.3039148  -0.23545221]
0.453,3.042982175626287,-1.596892794775003,1.6911368561937332,False,[-1.20777189 -0.44974949]
0.454,3.0467705490055477,-1.5517021211619155,1.7220459637294827,True,[-0.41361237+0.61061467j -0.41361237-0.61061467j]
0.455,3.051257743573601,-1.497564478354181,1.7578695270500144,True,[-0.02289688+0.73765142j -0.02289688-0.73765142j]
0.456,3.0569796795339226,-1.4273050438039052,1.802403545317416,True,[0.34465137+0.65314273j 0.34465137-0.65314273j]
