Omega,x,x0,v0,stable,floquet
0.4,3.1279402101350557,-1.788218952505641,1.551766111558572,False,[2.15234492e-03 2.32607267e+02]
0.401,3.127192679443517,-1.7788988153002607,1.5590095976773657,False,[2.30484408e-03 2.17730072e+02]
0.402,3.1264386064153493,-1.7695527073463666,1.566233595343825,False,[2.46680560e-03 2.03789337e+02]
0.403,3.1256779619144823,-1.7601805792657623,1.5734378059606218,False,[2.64038812e-03 1.90729190e+02]
0.404,3.124910719441593,-1.7507823695041524,1.5806219383627802,False,[2.82673181e-03 1.78492346e+02]
0.405,3.1241368531486,-1.741358009552705,1.5877857045927286,False,[3.02351361e-03 1.67024778e+02]
0.406,3.1233563363456462,-1.731907431395725,1.5949288141779632,False,[3.24012330e-03 1.56277531e+02]
0.407,3.1225691428421323,-1.7224305600683505,1.6020509796574682,False,[3.46799846e-03 1.46204415e+02]
0.408,3.1217752477259184,-1.7129273141456824,1.609151916127452,False,[3.71166802e-03 1.36761019e+02]
0.409,3.1209746220037378,-1.7033976180466937,1.6162313318449957,False,[3.97797161e-03 1.27910447e+02]
0.41,3.12016724111199,-1.6938413811874349,1.623288943890202,False,[4.25931464e-03 1.19613421e+02]
0.411,3.119353079678183,-1.6842585082487938,1.6303244701600736,False,[4.56429281e-03 1.11834454e+02]
0.412,3.118532111288406,-1.6746489006376883,1.6373376282027514,False,[4.88968666e-03 1.04541388e+02]
0.413,3.1177043051170776,-1.6650124773510393,1.644328120133994,False,[5.24026703e-03 9.77068776e+01]
0.414,3.1168696526815816,-1.6553490956258914,1.651295690644114,False,[5.61860893e-03 9.12904610e+01]
0.415,3.1160281107564884,-1.6456586566314335,1.6582400478824637,False,[6.02425309e-03 8.52780336e+01]
0.416,3.1151796610267186,-1.6359410372712335,1.6651609158429526,False,[6.46039651e-03 7.96395639e+01]
0.417,3.114324281694382,-1.6261961328016068,1.6720580024506986,False,[6.93335607e-03 7.43496846e+01]
0.418,3.113461940744895,-1.616423781746004,1.678931051028689,False,[7.43828266e-03 6.93906353e+01]
0.419,3.112592616813908,-1.60662386401708,1.6857797735531623,False,[7.98497578e-03 6.47397010e+01]
0.42,3.111716283247668,-1.596796220481344,1.6926039049717223,False,[8.57448817e-03 6.03785943e+01]
0.421,3.1108329172811664,-1.5869407226981698,1.6994031559668086,False,[9.21276567e-03 5.62882460e+01]
0.422,3.1099424921344467,-1.5770571918326408,1.7061772673782991,False,[9.90201027e-03 5.24528062e+01]
