Omega,x,x0,v0,stable,floquet
0.4,3.097686339746978,1.8842627112312569,1.405028257030044,False,[1.73724116e-03 2.88361097e+02]
0.401,3.0970235023998525,1.8757662502107717,1.4122780905992078,False,[1.83346650e-03 2.73728883e+02]
0.402,3.0963547178903403,1.867242258987549,1.41951845459785,False,[1.93405084e-03 2.59921460e+02]
0.403,3.095679968732837,1.8586906518253383,1.426749099240833,False,[2.03990162e-03 2.46886445e+02]
0.404,3.0949992367813834,1.8501113446590152,1.433969770905976,False,[2.15016618e-03 2.34576874e+02]
0.405,3.094312504128088,1.8415042539948576,1.441180213135867,False,[2.26786244e-03 2.22949007e+02]
0.406,3.0936197531536185,1.8328692923084609,1.4483801704831438,False,[2.38754543e-03 2.11961961e+02]
0.407,3.09292096652132,1.8242063679372995,1.4555693885116066,False,[2.51524483e-03 2.01577454e+02]
0.408,3.0922161271883595,1.815515384920344,1.4627476138390092,False,[2.65078650e-03 1.91759638e+02]
0.409,3.091505218403837,1.806796242864968,1.469914594151978,False,[2.78929807e-03 1.82474952e+02]
0.41,3.090788223693792,1.7980488368499274,1.4770700781864832,False,[2.93247952e-03 1.73691969e+02]
0.411,3.0900651268702037,1.789273057255124,1.484213815766514,False,[3.08785110e-03 1.65381225e+02]
0.412,3.089335912004349,1.7804687919324096,1.491345555935894,False,[3.24509142e-03 1.57515186e+02]
0.413,3.0886005635290026,1.7716359170923597,1.4984650542607083,False,[3.41197386e-03 1.50067867e+02]
0.414,3.087859066089826,1.7627743100614364,1.5055720623249418,False,[3.58593995e-03 1.43015056e+02]
0.415,3.0871114046406496,1.7538838408295747,1.512666334501871,False,[3.76701282e-03 1.36333998e+02]
0.416,3.08635756442079,1.7449643738574565,1.5197476263536571,False,[3.95738478e-03 1.30003343e+02]
0.417,3.0855975309553316,1.736015767887294,1.5268156946546494,False,[4.15676950e-03 1.24003053e+02]
0.418,3.0848312894922487,1.7270378773635238,1.5338702960975643,False,[4.36144735e-03 1.18314650e+02]
0.419,3.0840588272339886,1.71803054585712,1.540911192513885,False,[4.57634128e-03 1.12919816e+02]
0.42,3.0832801300252948,1.7089936150981326,1.547938143340528,False,[4.80239660e-03 1.07802293e+02]
0.421,3.0824951845386206,1.6999269188705717,1.5549509104648032,False,[5.03778774e-03 1.02946507e+02]
0.422,3.081703977724958,1.690830284401145,1.5619492569296074,False,[5.28254222e-03 9.83378237e+01]
